Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
Gavin Dass,Male,White,Asian (Indian),,No,No,Texas,Representative,1,Lost,,Gavin Dass,DEM,"DASS, GAVIN",H,DEM,TX,1.0,N,O,2021-12-09,0.0,0.0,0.0,0.0,House
Victor D. Dunn,Male,Black,,,No,No,Texas,Representative,1,Made runoff,Lost,Victor Dunn,DEM,"DUNN, VICTOR D",H,DEM,TX,1.0,N,O,,0.0,0.0,0.0,0.0,House
"Jrmar ""JJ"" Jefferson",Male,Black,,,No,No,Texas,Representative,1,Made runoff,Won,Jrmar Jefferson,DEM,"JEFFERSON, JRMAR",H,DEM,TX,30.0,C,O,2021-12-17,128130.6,93130.6,35000.0,151876.02,House
Stephen Kocen,Male,White,,,No,No,Texas,Representative,1,Lost,,Stephen Kocen,DEM,"KOCEN, STEPHEN MARTIN",H,DEM,TX,1.0,C,O,2022-01-03,12273.0,9672.64,5609.04,0.0,House
Robin Fulford,Female,White,,,No,No,Texas,Representative,2,Won,,Robin Fulford,DEM,"FULFORD, ROBIN DAWN",H,DEM,TX,2.0,C,C,2021-11-02,231492.19,208303.18,23189.01,15595.55,House
Doc Shelby,Male,Black,,,No,No,Texas,Representative,3,Lost,,Doc Shelby,DEM,"SHELBY, DOC MR",H,DEM,TX,4.0,C,C,2021-07-15,8481.0,11620.77,-2769.77,3125.0,House
Sandeep Srivastava,Male,Asian (Indian),,,No,No,Texas,Representative,3,Won,,Sandeep Srivastava,DEM,"SRIVASTAVA, SANDEEP KUMAR",H,DEM,TX,3.0,C,O,2021-08-12,451102.93,447510.02,3592.91,293233.73,House
Kathleen Cordelia Bailey,Female,White,,,No,No,Texas,Representative,5,Lost,,Kathleen Bailey,DEM,"BAILEY, KATHLEEN CORDELIA",H,DEM,TX,5.0,C,C,2021-05-11,214285.69,214285.69,0.0,0.0,House
Tartisha Hill,Female,Black,,,No,No,Texas,Representative,5,Won,,Tartisha Hill,DEM,"HILL, TARTISHA A MRS.",H,DEM,TX,5.0,C,C,2022-01-03,13686.03,15319.52,-3212.65,0.0,House
Laura Jones,Female,White,,,No,No,Texas,Representative,8,Won,,Laura Jones,DEM,"JONES, LAURA",H,DEM,TX,8.0,C,O,2020-01-10,42027.58,42917.95,418.78,1277.7,House
Trey J. Hunt,Male,White,Black,,No,No,Texas,Representative,12,Won,,Trey Hunt,DEM,"HUNT, TREY JOSEPH",H,DEM,TX,12.0,C,C,2021-01-23,50182.13,49483.33,698.8,0.0,House
Eugene Howard,Male,Black,,,No,No,Texas,Representative,14,Lost,,Eugene Howard,DEM,"HOWARD, EUGENE",H,DEM,TX,22.0,N,C,2021-01-13,3532.0,3426.22,205.21,0.0,House
Mikal Williams,Male,White,,,No,No,Texas,Representative,14,Won,,Mikal Williams,DEM,"WILLIAMS, MIKAL D. DR",H,DEM,TX,14.0,C,C,2019-10-20,77331.77,56467.59,21916.34,700.0,House
Eliza Alvarado,Female,Latino,,,No,No,Texas,Representative,15,Lost,,Eliza Alvarado,DEM,"ALVARADO, ELIZA DR.",H,DEM,TX,15.0,C,C,2021-10-21,79035.0,72804.9,6230.1,29000.0,House
Julio Garza,Male,Latino,,,No,No,Texas,Representative,15,Lost,,Julio Garza,DEM,"GARZA, JULIO",H,DEM,TX,15.0,N,C,2021-11-24,0.0,0.0,0.0,0.0,House
Julio Garza,Male,Latino,,,No,No,Texas,Representative,15,Lost,,Julio Garza,DEM,"GARZA, JULIO",H,REP,TX,29.0,C,C,2016-07-14,5380.0,5256.04,123.96,0.0,House
Ruben Ramirez,Male,Latino,,,No,No,Texas,Representative,15,Made runoff,Lost,Ruben Ramirez,DEM,"RAMIREZ, RUBEN",H,DEM,TX,15.0,C,C,2021-10-19,493221.73,493221.73,0.0,12250.0,House
Vanessa Stephanie Tijerina,Female,Latino,,,No,No,Texas,Representative,15,Lost,,Vanessa Tijerina,DEM,"TIJERINA, VANESSA S",H,DEM,TX,15.0,N,C,,0.0,0.0,0.0,0.0,House
