Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
,,,,,,,,,,,,"""Holden"" Hoggatt",,"HOGGATT, ""HOLDEN""",H,REP,LA,3.0,C,C,2022-08-02,207174.0,200873.44,6300.56,102233.0,House
,,,,,,,,,,,,"""Jim"" Davis",,"DAVIS, ""JIM""",H,NPA,LA,5.0,N,O,,0.0,0.0,0.0,0.0,House
A. Donald McEachin,Male,Black,,,Yes,No,Virginia,Representative,4,Won,,A. Mceachin,DEM,,,,,,,,,,,,,
A. Sonia Morris,Female,Black,,,No,No,South Carolina,Representative,6,Lost,,A. Morris,REP,,,,,,,,,,,,,
A.J. Louderback,Male,White,,,No,Yes,Texas,Representative,27,Lost,,A.J. Louderback,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Aamir Sultan,,"SULTAN, AAMIR",H,REP,NY,10.0,N,C,2022-03-30,0.0,0.0,0.0,0.0,House
Aarika Samone Rhodes,Female,Black,,,No,Yes,California,Representative,32,Lost,,Aarika Rhodes,DEM,"RHODES, AARIKA SAMONE",H,DEM,CA,32.0,C,C,2020-06-08,350294.41,369642.3,37542.2,0.0,House
,,,,,,,,,,,,Aaron Amede,,"AMEDE, AARON",H,DEM,ME,1.0,N,C,2020-06-10,0.0,0.0,0.0,0.0,House
Aaron Bashir,Male,Asian (Pakistani),,,No,No,Pennsylvania,Representative,2,Won,,Aaron Bashir,REP,,,,,,,,,,,,,
Aaron Bean,Male,White,,,No,No,Florida,Representative,4,Won,,Aaron Bean,REP,"BEAN, AARON P.",H,REP,FL,4.0,C,C,2022-06-02,1198576.19,1105711.47,92864.72,0.0,House
"Aaron ""A.J."" Calkins",Male,White,,,No,No,Indiana,Representative,3,Lost,,Aaron Calkins,DEM,"CALKINS, AARON (A.J.)",H,DEM,IN,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Godfrey,,"GODFREY, AARON PAUL",H,DEM,OH,16.0,N,O,2017-04-20,150.0,626.38,0.0,0.0,House
,,,,,,,,,,,,Aaron Hamstead,,"HAMSTEAD, AARON MR",H,ICD,FL,18.0,N,C,2022-04-05,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Hansen,,"HANSEN, AARON",H,REP,WA,6.0,N,C,2021-03-11,346.0,174.72,121.0,0.0,House
,,,,,,,,,,,,Aaron Heineman,,"HEINEMAN, AARON",H,OTH,UT,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Jay,,"JAY, AARON MR",H,ICD,DE,0.0,N,C,2022-03-26,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Lee,,"LEE, AARON PAYTON",H,IND,MS,4.0,N,C,2021-11-02,0.0,0.0,0.0,0.0,House
Aaron Lieberman,Male,White,,,No,No,Arizona,Governor,,Lost,,Aaron Lieberman,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Aaron Sims,,"SIMS, AARON MICHAEL",H,DEM,NV,2.0,N,C,2021-04-30,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Smith,,"SMITH, AARON",H,REP,CA,2.0,N,C,2021-05-04,0.0,0.0,0.0,0.0,House
Aaron Storer,Male,White,,,No,No,Indiana,Representative,1,Lost,,Aaron Storer,REP,"STORER, AARON",H,REP,IN,1.0,N,C,2022-02-24,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Aaron Trevino,,"TREVINO, AARON MR.",H,UN,CO,5.0,N,C,2022-03-21,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Abby Broyles,,"BROYLES, ABBY",H,DEM,OK,5.0,C,C,2021-08-31,0.0,0.0,0.0,0.0,House
Abby Finkenauer,Female,White,,,No,No,Iowa,Senator,,Lost,,Abby Finkenauer,DEM,,,,,,,,,,,,,
Abel Mulugheta,Male,Black (Eritrean),,,No,No,Texas,Representative,30,Lost,,Abel Mulugheta,DEM,"MULUGHETA, ABEL",H,DEM,TX,30.0,C,O,2021-10-26,375477.51,375477.51,0.0,0.0,House
Abhiram Garapati,Male,Asian ,,,No,Yes,Texas,Representative,31,Lost,,Abhiram Garapati,REP,"GARAPATI, ABHIRAM",H,REP,TX,31.0,C,C,2018-12-21,19401.0,10934.12,15038.58,0.0,House
,,,,,,,,,,,,Abigail Fordham,,"FORDHAM, ABIGAIL MRS",H,ICD,CO,18.0,N,C,2022-03-30,0.0,0.0,0.0,0.0,House
Abigail A. Spanberger,Female,White,,,Yes,No,Virginia,Representative,7,Won,,Abigail Spanberger,DEM,"SPANBERGER, ABIGAIL",H,DEM,VA,7.0,C,I,2017-07-10,9083201.29,9384948.4,280386.04,0.0,House
Adam J. Fischer,Male,White,,,No,No,Wisconsin,Governor,,Lost,,Adam Fischer,REP,,,,,,,,,,,,,
Adam Frisch,Male,White,,,No,No,Colorado,Representative,3,Won,,Adam Frisch,DEM,"FRISCH, ADAM",H,DEM,CO,3.0,C,C,2022-02-23,6714235.34,6348925.07,365310.27,7813.05,House
,,,,,,,,,,,,Adam Gentle,,"GENTLE, ADAM",H,DEM,FL,25.0,C,C,2021-04-16,91600.44,91600.44,0.0,0.0,House
,,,,,,,,,,,,Adam Gizinski,,"GIZINSKI, ADAM",H,REP,VA,10.0,N,C,2021-11-04,0.0,0.0,0.0,0.0,House
Adam Gray,Male,White,,,No,No,California,Representative,13,Won,,Adam Gray,DEM,"GRAY, ADAM C.",H,DEM,CA,13.0,C,C,2022-01-18,2390120.97,2335746.28,54374.69,61054.26,House
,,,,,,,,,,,,Adam Hancock,,"HANCOCK, ADAM MATTHEW",H,REP,CA,45.0,N,C,2021-12-15,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Adam Hancock,,"HANCOCK, ADAM M",H,REP,CA,45.0,N,C,2021-12-15,0.0,0.0,0.0,0.0,House
Adam Holley,Male,White,,,No,No,Oklahoma,Senator (unexpired term),,Lost,,Adam Holley,REP,,,,,,,,,,,,,
Adam Hollier,Male,Black,,,No,No,Michigan,Representative,13,Lost,,Adam Hollier,DEM,"HOLLIER, ADAM",H,DEM,MI,13.0,C,C,2022-01-20,1226165.06,1210004.4,16160.66,0.0,House
Adam Paul Laxalt,Male,White,,,No,No,Nevada,Senator,,Won,,Adam Laxalt,REP,,,,,,,,,,,,,
Adam Martin,Male,Black,,,No,No,Oklahoma,Representative,1,Won,,Adam Martin,DEM,"MARTIN, ADAM",H,DEM,OK,1.0,C,C,2021-07-29,34098.62,32748.96,204.83,0.0,House
Adam Medeiros,Male,White,,,No,Yes,California,Representative,22,Lost,,Adam Medeiros,REP,"MEDEIROS, ADAM THOMAS MR",H,REP,CA,21.0,C,C,2021-08-26,110637.0,109593.44,1043.56,5000.0,House
Adam Metzendorf,Male,White,,,No,No,Arizona,Representative,1,Lost,,Adam Metzendorf,DEM,"METZENDORF, ADAM",H,DEM,AZ,1.0,C,C,2021-10-06,308020.36,308020.36,0.0,0.0,House
Adam Morgan,Male,White,,,No,Yes,Arizona,Representative,9,Lost,,Adam Morgan,REP,"MORGAN, ADAM",H,REP,AZ,9.0,C,C,2022-01-14,69649.12,84349.52,0.0,0.0,House
,,,,,,,,,,,,Adam Ortiz,,"ORTIZ, ADAM",H,IND,VT,0.0,N,C,,0.0,0.0,0.0,0.0,House
Adam Prine,Male,White,,,No,No,Oregon,Representative,2,Lost,,Adam Prine,DEM,"PRINE, ADAM",H,DEM,OR,2.0,N,C,,0.0,0.0,0.0,0.0,House
Adam B. Schiff,Male,White,,,Yes,No,California,Representative,30,Made runoff,,Adam Schiff,DEM,"SCHIFF, ADAM",H,DEM,CA,30.0,C,I,1999-03-18,25328092.74,18213398.9,21022960.33,0.0,House
,,,,,,,,,,,,Adam Schindler,,"SCHINDLER, ADAM DR.",H,IND,CA,50.0,C,C,2021-12-29,45231.36,49997.42,-4766.06,0.0,House
,,,,,,,,,,,,Adam Schwarze,,"SCHWARZE, ADAM NOEL",H,REP,MN,3.0,C,C,2021-11-22,68361.74,63717.76,4643.98,11080.0,House
Adam Smith,Male,White,,,Yes,No,Washington,Representative,9,Won,,Adam Smith,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Adam Wool,,"WOOL, ADAM L",H,DEM,AK,0.0,C,O,2022-04-29,16217.07,16217.07,0.0,0.0,House
